card_namber,polnoe_naimenovanie,socrshenoe_naimenovanie,naimenovanie_ur_litca_ip,region,inn,ogrn_ogrnip,adres,telephon,email,dlina_gornolygnoi_trassy,tehnicheskie_haracteristiki,categoriya_trassy,spectialist_po_classificatci,nomer_resheniya_o_prisvoenii_categorii,data_resheniya_o_prisvoenii_categorii,registratcionnyi_nomer_svidetelstva,data_vydachi_svidetelstva,srok_deistviya,acreditovanaya_organizatciya
440000638,"Горнолыжная трасса №5  горнолыжного курорта «Горная Саланга» ООО ""Горная Саланга""",Горнолыжная трасса №5  горнолыжного курорта «Горная Саланга»,Общество с ограниченной ответственностью «Горная Саланга»,Кемеровская область,4243005914,1074243000028,"Кемеровская область, Тисульский район, Белогорское городское поселение, Белогорское лесничество, строение 24",8 (391) 22-77-006,info@salanga.ru,750 м,"перепад высот 130 м, уголнаклона трассы до 25%, ширина трассы 20-25 м, размер выката более 30 м",синяя,С.Ю. Анисимов,114,14.10.2022,Т/АА-153-2021/114-2022,17.10.2022,17.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000636,Горнолыжная трасса «Транзит» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Транзит» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,185 м,"перепад высот 19 м, угол наклона до 25%, ширина трассы 15-20 м, размер выката более 40 м",синяя,С.Ю. Анисимов,92,06.10.2022,Т/АА-153-2021/92-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000633,Горнолыжная трасса «Смородина» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Смородина» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,580 м,"перепад высот 86 м, угол наклона 14%, ширина трассы 15-20 м, размер выката более 40 м",зеленая,С.Ю. Анисимов,89,06.10.2022,Т/АА-153-2021/89-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000632,Горнолыжная трасса «Черёмуха» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Черёмуха» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,192 м,"перепад высот 45 м, угол наклона 23%, ширина трассы 30-40 м, размер выката более 40 м",синяя,С.Ю. Анисимов,88,06.10.2022,Т/АА-153-2021/88-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000637,Горнолыжная трасса «Медовая» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Медовая» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,263 м,"перепад высот 45 м, угол наклона 17%, ширина трассы 30-40 м, размер выката более 40 м",синяя,С.Ю. Анисимов,93,06.10.2022,Т/АА-153-2021/93-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000629,Горнолыжная трасса «Пихтовая» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Пихтовая» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,714 м,"перепад высот 140 м, угол наклона до 25%, ширина трассы 15-40 м, размер выката более 50 м",синяя,С.Ю. Анисимов,85,06.10.2022,Т/АА-153-2021/85-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000635,Горнолыжная трасса «Весёлая» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Весёлая» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"399,73 м","перепад высот 69,82 м, угол наклона 18%, ширина трассы 30-40 м, размер выката 70 м",синяя,С.Ю. Анисимов,91,06.10.2022,Т/АА-153-2021/91-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000634,Горнолыжная трасса «Тайга» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Тайга» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,757 м,"перепад высот 76 м, угол наклона 10%, ширина трассы 20-30 м, размер выката более 40 м",зеленая,С.Ю. Анисимов,90,06.10.2022,Т/АА-153-2021/90-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000630,Горнолыжная трасса «Морозная» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Морозная» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,"980,8 м","перепад высот 248,43 м, угол наклона 25%, ширина трассы 12-50 м, размер выката более 60 м",красная,С.Ю. Анисимов,86,06.10.2022,Т/АА-153-2021/86-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
440000631,Горнолыжная трасса «Кедровая» Всесезонного курорта «Манжерок» ООО «ВК «Манжерок»,Горнолыжная трасса «Кедровая» Всесезонного курорта «Манжерок»,Общество с ограниченной ответственностью  «Всесезонный курорт «Манжерок»,Республика Алтай,0400014449,1200400001251,"Республика Алтай, Майминский район, с. Озерное, район оз. Манжерокское, с юго-восточной стороны",8 913 992-88-88,booking@mglk.ru,1560 м,"перепад высот 251 м, угол наклона до 25%, ширина трассы 15-30 м, размер выката более 40 м",синяя,С.Ю. Анисимов,87,06.10.2022,Т/АА-153-2021/87-2022,07.10.2022,07.10.2025,"Общество с ограниченной ответственностью ""Центр сертификации и экспертизы ""Омск-Тест"""
